time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.1818883616341466e-06,-9.753837056974647e-08,9.009177687169478,6.282891782628738,0.0006800482608175784,0.0,-9.288469082077544e-05,-1.9461746511473103e-05,0.3058910430549989,-0.01711894690256271,0.027637489788727813,0.0,496.3715254250745,498.39516183078354,499.16981652259784,497.91930770036345
0.12000000000000001,-2.427183649887548e-05,-9.58821920347771e-06,9.026970855304842,6.281763692567495,0.002937048794842134,0.0,-0.0008464100231480832,-0.0003876884119058857,0.287219367493542,-0.02239860756472825,0.052443390705009675,0.0,396.24946775523966,398.5237414478505,397.9980075506915,397.51457490331563
0.18,-0.0001594212712603116,-7.283093729363614e-05,9.050545729276257,6.279979320383113,0.005860346168925723,0.0,-0.0040194909064425735,-0.0018972902471063448,0.4985391925622043,-0.05145176466685253,0.03998807142636111,0.0,472.0817365008089,471.1211335124349,471.5524873249964,469.30279680170963
0.23999999999999996,-0.0005345066928094104,-0.00026699007695809874,9.084055512289073,6.276855343260877,0.008061096441443816,0.0,-0.008725419931970471,-0.0049003436433168995,0.6183927963644855,-0.053324075365783465,0.029069622838069256,0.0,443.347646752669,442.4503970515874,444.0586679709368,443.90331626229624
0.3,-0.0012472693325229199,-0.0007164979357951102,9.12600755747002,6.273148936527482,0.010224230697759573,0.0,-0.015252675202038801,-0.01045399520331702,0.7799072532838303,-0.08966715749330578,0.04725800041205649,0.0,455.7259507575509,457.1777719100649,457.86419000526456,454.96088371915766
0.36000000000000004,-0.0024149849140443426,-0.001603101113854381,9.178646436825575,6.267677786863764,0.012829421612930325,0.0,-0.023986856574136878,-0.01972703094528162,0.9745650410659255,-0.09440821222145268,0.034359613600427545,0.0,467.03034604491546,466.02430426072897,466.941214599659,466.56469819182723
0.4200000000000001,-0.004108563915395778,-0.00310564241083402,9.238718567761286,6.261736713321042,0.014681412388606319,0.0,-0.03265232705871558,-0.030906563798227774,1.027780258226813,-0.11034535447107817,0.02276057779801865,0.0,423.4172176403408,422.4186594144536,423.4198891820826,422.03758866495895
0.48000000000000015,-0.006361927616632803,-0.005406621834887631,9.302426978865913,6.255301626467254,0.015819267364486578,0.0,-0.04258200264269889,-0.046425591250846276,1.0957530099825046,-0.10169256732258211,0.010019424178554778,0.0,428.09780327380406,427.0123827961964,427.64779065150833,428.37347992510865
0.5400000000000001,-0.009320050835231658,-0.008922363377806705,9.375678731418674,6.249301706852709,0.01752718585522217,0.0,-0.05617901019725078,-0.07150938196982286,1.3456856108492856,-0.09681193615514347,0.05121302402628121,0.0,482.5367475480745,485.6362797479352,482.6755994998836,483.0359862171594
0.6000000000000002,-0.013098032472256564,-0.01399751502008845,9.461203131319193,6.243743940406215,0.02118063232008094,0.0,-0.07012832184742175,-0.09828356433309354,1.5049001858327142,-0.08536247858827405,0.07537448024306001,0.0,456.085847992746,458.01372655374473,457.0429206536867,457.94741531346614
0.6600000000000003,-0.017737064373847863,-0.020685010104606945,9.55340032253391,6.238726257392743,0.02587147035765902,0.0,-0.08494997503428486,-0.12511863908307522,1.568221772248249,-0.08036915640964427,0.08327022901823303,0.0,427.25229229610005,427.92999545997833,427.4287181387267,427.84799319791017
0.7200000000000003,-0.023447740801515793,-0.029230373555233363,9.65270869556834,6.233810179356578,0.030705759812991396,0.0,-0.10595538285371257,-0.1602644720495912,1.7417643993535752,-0.08526310288894214,0.07454291399886377,0.0,462.9973294909763,462.3151798750148,462.2721370168483,461.88119151572647
0.7800000000000004,-0.030477470921067035,-0.03991711168833833,9.760823410850206,6.2290910793461265,0.03565559082583292,0.0,-0.12886183271700344,-0.1964637474146855,1.8618238386241686,-0.0679374094155065,0.0949326216575864,0.0,446.0075294416137,447.6749388313977,445.6579308603622,447.0666844945089
0.8400000000000004,-0.03912151480311455,-0.053067100359828596,9.87967680702158,6.2246653751816226,0.04124295385103327,0.0,-0.15994965482021903,-0.24236153050383574,2.0994876427544176,-0.08915325210134499,0.08923517986163935,0.0,482.5861115174387,482.1624654606234,483.24173761228724,481.635975008568
0.9000000000000005,-0.049650906448531165,-0.06892074487983023,10.009996389922263,6.219198214770689,0.04699157165347856,0.0,-0.1916250840355478,-0.2866629416977481,2.24415378196772,-0.09537067195604669,0.10647508722161428,0.0,453.9884294821236,455.37700162777,457.02391055392616,456.5213606679153
0.9600000000000005,-0.06210863054106579,-0.08741529953427471,10.14685089350533,6.2134129884675655,0.05362001718827791,0.0,-0.22426564702073543,-0.33037531754792077,2.317436105515249,-0.09860551417853752,0.11746000519052938,0.0,434.1160698369796,435.04783062210527,433.7038764490736,433.42390477679214
1.0200000000000005,-0.07665370898180238,-0.10864116697174374,10.287993021155915,6.207038351115967,0.060469509989110826,0.0,-0.2612423579587063,-0.37773295345756036,2.387062311402531,-0.1294108265342756,0.10657374905886172,0.0,434.2119592478473,433.30967078396105,434.35051817405434,431.7484754611275
1.0800000000000005,-0.09383989393711825,-0.13320403273669162,10.437962996500541,6.199013629364789,0.06689329503894026,0.0,-0.31237360683523635,-0.441935756326613,2.6113037773973837,-0.14423481751730854,0.10802341441551566,0.0,481.64379656413234,481.76250631497487,481.38816320838663,480.2499756880266
1.1400000000000006,-0.11404362928016093,-0.16155672213680802,10.598320921727673,6.190576782336008,0.07331656747276494,0.0,-0.36174591551826657,-0.5040239912855087,2.7335216224706262,-0.13421682152620967,0.10504455576779699,0.0,452.7094627721497,452.4795437048239,450.8986953480777,451.68915677004475
